convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
42           1500   -47.131275
42           3000   -47.131124
47           3000   -47.178800
52           3000   -47.206503
57           3000   -47.222229
62           3000   -47.230513
67           3000   -47.234559
72           3000   -47.236400
