convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
46           1500   -195.521829
46           3000   -195.522026
51           3000   -195.853989
56           3000   -196.011002
61           3000   -196.076962
66           3000   -196.100783
71           3000   -196.107848
76           3000   -196.109406
