convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
42           1500   -41.714474
42           3000   -41.714511
47           3000   -41.761574
52           3000   -41.789330
57           3000   -41.804953
62           3000   -41.813211
67           3000   -41.817313
72           3000   -41.819170
