convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
22           1500   -74.477617
22           3000   -74.479566
27           3000   -75.379570
32           3000   -75.694951
37           3000   -75.796822
42           3000   -75.829447
47           3000   -75.840885
52           3000   -75.845529
57           3000   -75.847484
