convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
42           1500   -52.887375
42           3000   -52.887348
47           3000   -52.934308
52           3000   -52.962671
57           3000   -52.978323
62           3000   -52.986559
67           3000   -52.990638
72           3000   -52.992464
