convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
42           1500   -70.317124
42           3000   -70.317369
47           3000   -70.365789
52           3000   -70.394531
57           3000   -70.410356
62           3000   -70.418714
67           3000   -70.423074
72           3000   -70.425085
