convergence threshold = 0.0029 Ha (= 1kcal/mol)
cutoff (Ry)  kppa   total energy (Ha)
40           1500   -71.612182
40           3000   -71.615292
40           4500   -71.616410
45           4500   -72.052358
50           4500   -72.218377
55           4500   -72.265167
60           4500   -72.272948
65           4500   -72.273336
